+------+-----------------------+
|  r   |         P_mle         |
+------+-----------------------+
| 10.0 | 0.0020785038203900725 |
|      |                       |
| 9.0  |  0.002120502822779906 |
|      |                       |
| 8.0  |  0.002391500641035834 |
|      |                       |
| 7.0  |  0.002480800647535149 |
|      |                       |
| 6.0  |  0.002732973381031859 |
|      |                       |
| 5.0  | 0.0029339728619722266 |
|      |                       |
| 4.0  |  0.003334184632261944 |
|      |                       |
| 3.0  | 0.0037473833281131013 |
|      |                       |
| 2.0  |  0.004700075592243421 |
|      |                       |
| 1.0  |  0.006755941652475536 |
|      |                       |
+------+-----------------------+
