+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.00896812793814562  |
|      |                      |
| 9.0  | 0.010285645657551067 |
|      |                      |
| 8.0  | 0.011845029986692112 |
|      |                      |
| 7.0  | 0.013513671301615316 |
|      |                      |
| 6.0  | 0.016502213258190075 |
|      |                      |
| 5.0  | 0.02014165043100689  |
|      |                      |
| 4.0  | 0.02791784065310404  |
|      |                      |
| 3.0  | 0.039204194515192865 |
|      |                      |
| 2.0  |  0.0738057746791313  |
|      |                      |
| 1.0  |  0.2509330331874952  |
|      |                      |
+------+----------------------+
