I(w1;w2),C(w1),C(w2),C(w1;w2),collocation
10.666147100873577,1120,61807,929,"('KURTULAN', 'Mersin')"
10.647677766139505,8713,11183,1291,"('Engin', 'Altay')"
10.636351395414026,15113,9654,1918,"('KANUN', 'TEKLİFLERİ')"
10.63601559219891,76087,765,765,"('MEHMET', 'RUŞTU')"
10.589905131508475,8453,7314,787,"('HAYDAR', 'AKAR')"
10.578202113961744,48092,4891,2970,"('yaptığı', 'açıklamasındaki')"
10.57449350554453,61562,1086,842,"('Mustafa', 'Şentop')"
10.551362265570765,25412,16666,5249,"('Kesin', 'Hesabı')"
10.550981945478155,4723,40020,2342,"('TÜRKKAN', 'Kocaeli')"
10.54675199397941,10599,19749,2586,"('Tayyip', 'Erdoğan')"
10.495903730167207,11701,13959,1948,"('DİĞER', 'İŞLER')"
10.48695305004995,11724,6160,856,"('Silahlı', 'Kuvvetleri')"
10.4371590603765,13375,11629,1781,"('günkü', 'birleşiminde')"
10.42989230968819,19000,6546,1417,"('Aynı', 'mahiyetteki')"
10.422546152628007,7944,29729,2677,"('ÖZKAN', 'Denizli')"
10.388174291161393,9737,24626,2654,"('TURAN', 'Çanakkale')"
10.387335268529348,15653,9766,1691,"('işleme', 'alacağım')"
10.30744790712813,8188,7655,656,"('CETVELİ', 'Toplam')"
10.280074185437957,6988,11789,846,"('Bravo', 'sesleri')"
10.275738864530751,11423,16639,1946,"('KOMİSYONLARDAN', 'GELEN')"
10.267818003860313,25412,7281,1884,"('Kesin', 'Hesap')"
10.264512615301316,26522,2572,693,"('Vekili', 'Süreyya')"
10.247692276181331,12993,97304,12695,"('İYİ', 'PARTİ')"
10.235849718670021,16639,11701,1939,"('GELEN', 'DİĞER')"
10.233271382799604,11743,10930,1276,"('KÂTİP', 'ÜYELER')"
10.192034805768026,11629,11731,1318,"('birleşiminde', 'yapılmasına')"
10.160774514160522,1668,47940,756,"('Tamamlayalım', 'lütfen')"
10.119471007300717,16192,12893,1918,"('İnsan', 'Hakları')"
10.113371526462895,9316,29321,2499,"('Özgür', 'Özel')"
10.077494295438097,30433,11838,3215,"('Bazı', 'Kanunlarda')"
10.07410474173426,96725,821,707,"('Mehmet', 'Metanet')"
10.04134817742924,15642,5164,703,"('YILMAZ', 'TUNÇ')"
10.0313996812885,3283,23259,660,"('şifalar', 'diliyorum')"
10.018774072664874,7655,10139,665,"('Toplam', 'Ödenek')"
9.999486262158594,13917,10947,1288,"('OTURUM', 'Açılma')"
9.993130793704788,48092,5089,2060,"('yaptığı', 'konuşmasındaki')"
9.988400646452275,12059,7354,744,"('Söz', 'sırası')"
9.973831929819807,8927,13299,986,"('Oturumunu', 'açıyorum')"
9.969143824510363,17796,5505,811,"('Doğu', 'Akdeniz')"
9.93016639245385,4891,75717,2984,"('açıklamasındaki', 'bazı')"
9.923952312606776,9329,8965,671,"('metninden', 'çıkarılmasını')"
9.88722809790848,12799,6633,664,"('GENEL', 'TOPLAM')"
9.786146915362785,21263,8036,1246,"('Bülent', 'Turan')"
9.69511736023097,12874,12730,1122,"('Erkan', 'Akçay')"
9.669790946170775,26585,25973,4645,"('GRUBU', 'ADINA')"
9.662122848088224,19365,9963,1291,"('doğal', 'gaz')"
9.637226397040797,25105,9769,1613,"('KOMİSYONU', 'SÖZCÜSÜ')"
9.634572696760246,3905,38969,999,"('Oturum', 'Başkanı')"
9.592416783360827,7609,16078,780,"('Diyanet', 'İşleri')"
9.586563829496615,2233,50989,723,"('Kararnamede', 'Değişiklik')"
9.539125779021665,75717,11669,5429,"('bazı', 'ifadelerine')"
9.537049392845455,10434,22321,1429,"('merkezî', 'yönetim')"
