C(w1;w2),collocation,tag pattern
15135,"('Büyük', 'Millet')",AN
11883,"('Millet', 'Meclisi')",NN
10906,"('soru', 'önergesi')",NN
9785,"('sıralarından', 'alkışlar')",NN
7968,"('Meclisi', 'Başkanlığına')",NN
7759,"('yazılı', 'soru')",AN
6166,"('arz', 'ederim')",NN
6150,"('Devlet', 'Bakanı')",NN
5794,"('Kabul', 'edenler')",NN
5334,"('yazılı', 'cevabı')",AN
5008,"('Sayın', 'milletvekilleri')",AN
4979,"('önergesi', 'Başkanlığa')",NN
4743,"('RP', 'sıralarından')",NN
4369,"('sözlü', 'soru')",AN
4128,"('ilişkin', 'Başbakandan')",NN
4107,"('Sayın', 'Bakan')",AN
4077,"('Değerli', 'arkadaşlarım')",AN
4011,"('Millî', 'Eğitim')",AN
3888,"('ilişkin', 'sorusu')",NN
3828,"('Türkiye', 'de')",AN
3774,"('Malî', 'Yılı')",AN
3153,"('Grubu', 'adına')",NN
3066,"('değerli', 'milletvekilleri')",AN
2881,"('Değerli', 'milletvekilleri')",AN
2735,"('CHP', 'sıralarından')",NN
2720,"('BAŞKAN', 'Teşekkür')",AN
2717,"('ne', 'kadar')",AN
2680,"('Partisi', 'Grubu')",NN
2645,"('Teşekkür', 'ederim')",NN
2594,"('DSP', 'sıralarından')",NN
2538,"('bir', 'şekilde')",AN
2521,"('edenler', 'Kabul')",NN
2455,"('BAŞKAN', 'Kabul')",AN
2407,"('Türkiye', 'Cumhuriyeti')",AN
2339,"('Doğru', 'Yol')",AN
2328,"('Hakkında', 'Kanun')",NN
2302,"('Refah', 'Partisi')",NN
2262,"('Cumhuriyet', 'Halk')",NN
2230,"('bir', 'şey')",AN
2178,"('Meclis', 'araştırması')",NN
2169,"('sayın', 'milletvekilleri')",AN
2169,"('Aşağıdaki', 'sorularımın')",AN
2157,"('otomatik', 'cihaz')",AN
2142,"('cihaz', 'tarafından')",NN
2137,"('söz', 'konusu')",NN
2134,"('ANAP', 'sıralarından')",NN
2095,"('bugüne', 'kadar')",NN
2077,"('Halit', 'Dumankaya')",NN
2057,"('sayılı', 'yazısı')",AN
2052,"('esas', 'numaralı')",AN
2030,"('Tabiî', 'Kaynaklar')",AN
1998,"('Kanun', 'Tasarısı')",NN
1991,"('sıralarından', 'gürültüler')",NN
1889,"('Millet', 'Meclisinin')",NN
1864,"('ilişkin', 'önergesi')",NN
1741,"('Yol', 'Partisi')",NN
1739,"('şu', 'anda')",AN
1731,"('GRUBU', 'ADINA')",NN
1716,"('Halk', 'Partisi')",NN
1712,"('Konya', 'Milletvekili')",NN
1705,"('Millî', 'Savunma')",AN
1687,"('Bilgilerinize', 'arz')",NN
1685,"('DYP', 'sıralarından')",NN
1679,"('Ankara', 'Milletvekili')",NN
1605,"('Başbakandan', 'sorusu')",NN
1605,"('Kanun', 'Teklifi')",NN
1602,"('Sosyal', 'Güvenlik')",AN
1584,"('Anavatan', 'Partisi')",NN
1572,"('Sosyal', 'Sigortalar')",AN
1564,"('Yazılı', 'Soru')",AN
1564,"('malî', 'yılı')",AN
1547,"('Milletvekili', 'Mehmet')",NN
1528,"('Sol', 'Parti')",AN
1509,"('Milletvekili', 'Mustafa')",NN
1504,"('Soru', 'Önergesi')",NN
1480,"('ne', 'zaman')",AN
1451,"('Sayın', 'Başbakan')",AN
1447,"('sosyal', 'güvenlik')",AN
1428,"('bir', 'an')",AN
1413,"('Bravo', 'sesleri')",NN
1390,"('numaralı', 'Meclis')",NN
1381,"('sıralarından', 'Bravo')",NN
