C(w1;w2),collocation,tag pattern
340,"('Büyük', 'Millet')",AN
318,"('sıralarından', 'alkışlar')",NN
215,"('Millet', 'Meclisi')",NN
117,"('Sayın', 'milletvekilleri')",AN
117,"('Milliyetçi', 'Hareket')",NN
111,"('BALUKEN', 'Diyarbakır')",NN
108,"('Cumhuriyet', 'Halk')",NN
98,"('OKTAY', 'VURAL')",NN
87,"('sıralarından', 'gürültüler')",NN
84,"('Millet', 'Meclisinin')",NN
83,"('CHP', 'sıralarından')",NN
81,"('Birleşmiş', 'Milletler')",AN
78,"('Hareket', 'Partisi')",NN
75,"('HDP', 'sıralarından')",NN
74,"('Halk', 'Partisi')",NN
66,"('ilişkin', 'açıklaması')",NN
66,"('AYDIN', 'Devamla')",AN
62,"('MHP', 'sıralarından')",NN
62,"('Partisi', 'Grubu')",NN
60,"('değerli', 'milletvekilleri')",AN
60,"('Başkan', 'Vekili')",AN
59,"('Türkiye', 'de')",AN
59,"('ilişkin', 'sorusu')",NN
57,"('kez', 'daha')",NN
56,"('bir', 'şekilde')",AN
54,"('bir', 'şey')",AN
54,"('AYDIN', 'Adıyaman')",AN
53,"('bir', 'kez')",AN
48,"('Türk', 'Silahlı')",NN
46,"('Türkiye', 'Cumhuriyeti')",AN
45,"('Meclisi', 'Başkanlığına')",NN
44,"('bugüne', 'kadar')",NN
44,"('Grubu', 'adına')",NN
44,"('Değerli', 'milletvekilleri')",AN
44,"('GÖK', 'Ankara')",AN
42,"('Milletvekili', 'Ahmet')",NN
42,"('Suriye', 'deki')",NN
41,"('otomatik', 'cihaz')",AN
41,"('cihaz', 'tarafından')",NN
41,"('geçici', 'Bakanlar')",AN
40,"('şu', 'anda')",AN
39,"('VURAL', 'Devamla')",NN
36,"('bir', 'yıl')",AN
36,"('Sayın', 'Baluken')",AN
35,"('Ankara', 'Milletvekili')",NN
35,"('değerli', 'arkadaşlar')",AN
35,"('ÜNAL', 'Kahramanmaraş')",NN
34,"('Teşekkür', 'ederim')",NN
34,"('Sayın', 'Vural')",AN
34,"('Milletvekili', 'Mustafa')",NN
34,"('MEHMET', 'DOĞAN')",NN
33,"('Oktay', 'Vural')",NN
33,"('maddesi', 'uyarınca')",NN
33,"('ilişkin', 'tezkeresi')",NN
32,"('Demokratik', 'Partisi')",AN
32,"('Aydın', 'ın')",AN
32,"('Suriye', 'de')",NN
32,"('Değerli', 'arkadaşlar')",AN
31,"('saat', 'te')",NN
31,"('PKK', 'terör')",NN
31,"('ÖZEL', 'Manisa')",AN
30,"('Mustafa', 'Sezgin')",NN
30,"('Sezgin', 'Tanrıkulu')",NN
30,"('Tüzük', 'ün')",NN
30,"('siyasi', 'parti')",AN
30,"('Adıyaman', 'Milletvekili')",NN
29,"('SIRRI', 'SÜREYYA')",NN
29,"('SÜREYYA', 'ÖNDER')",NN
28,"('günü', 'saat')",NN
28,"('Silahlı', 'Kuvvetlerinin')",NN
28,"('Milletler', 'Güvenlik')",NN
28,"('ERTUĞRUL', 'KÜRKCÜ')",NN
28,"('ÖZEL', 'Devamla')",AN
27,"('Başkanlık', 'Divanı')",NN
27,"('CUMHURBAŞKANI', 'RECEP')",NN
26,"('GENEL', 'KURULA')",AN
26,"('KURULA', 'SUNUŞLARI')",NN
26,"('söz', 'konusu')",NN
26,"('Temmuz', 'Srebrenitsa')",NN
26,"('Meclis', 'araştırması')",NN
25,"('Sayın', 'Cumhurbaşkanı')",AN
25,"('inci', 'Dönem')",AN
25,"('Millî', 'Savunma')",AN
25,"('sıralarından', 'Bravo')",NN
25,"('Bravo', 'sesleri')",NN
25,"('Sosyal', 'Politikalar')",AN
24,"('Tayyip', 'Erdoğan')",NN
24,"('Türkiye', 'yi')",AN
24,"('sıra', 'kapaklarına')",NN
24,"('Hareket', 'Partisinin')",NN
24,"('Politikalar', 'Bakanı')",NN
24,"('Ayşen', 'Gürcan')",NN
24,"('AYTUN', 'ÇIRAY')",NN
23,"('BAŞKAN', 'Teşekkür')",AN
23,"('Ahmet', 'Davutoğlu')",NN
23,"('MAHMUT', 'TANAL')",NN
23,"('nci', 'maddesi')",NN
23,"('maddeleri', 'gereğince')",NN
23,"('Srebrenitsa', 'katliamının')",NN
23,"('Manisa', 'Milletvekili')",NN
23,"('çözüm', 'süreci')",NN
23,"('Bakanı', 'Ayşen')",NN
22,"('Recep', 'Tayyip')",NN
22,"('maddesi', 'gereğince')",NN
22,"('Meclisi', 'Başkanlığının')",NN
22,"('Genel', 'Kurul')",AN
22,"('terörle', 'mücadele')",NN
22,"('ÇIRAY', 'Devamla')",NN
21,"('Allah', 'tan')",NN
21,"('tan', 'rahmet')",NN
21,"('Cumhuriyeti', 'Anayasası')",NN
21,"('katliamının', 'nci')",NN
21,"('nci', 'yıl')",NN
21,"('sesleri', 'alkışlar')",NN
20,"('Konya', 'Milletvekili')",NN
20,"('Kanun', 'un')",NN
20,"('bir', 'an')",AN
20,"('nci', 'maddesine')",NN
20,"('Şu', 'anda')",AN
20,"('için', 'de')",AN
20,"('ın', 'cevabı')",NN
19,"('Milletvekili', 'Mehmet')",NN
19,"('yıl', 'daha')",NN
19,"('Milletvekili', 'Oktay')",NN
19,"('Silahlı', 'Kuvvetleri')",NN
19,"('Sayın', 'Bakan')",AN
19,"('Halk', 'Partisinin')",NN
19,"('olağanüstü', 'toplantıya')",AN
19,"('Adalet', 'Bakanı')",NN
19,"('Gürcan', 'ın')",NN
18,"('Perşembe', 'günü')",NN
18,"('çok', 'daha')",AN
18,"('devam', 'eden')",NN
18,"('tek', 'başına')",AN
18,"('son', 'derece')",AN
18,"('çok', 'önemli')",AN
18,"('Sayın', 'Davutoğlu')",AN
18,"('Ekonomi', 'Bakanı')",NN
18,"('Nihat', 'Zeybekci')",NN
18,"('Irak', 'ın')",AN
17,"('Vecdi', 'Gönül')",NN
17,"('Vural', 'ın')",NN
17,"('UNIFIL', 'in')",NN
17,"('YARDIMCISI', 'BÜLENT')",AN
17,"('BÜLENT', 'ARINÇ')",NN
17,"('Bakanı', 'Nihat')",NN
16,"('ayakta', 'alkışlar')",NN
16,"('BAŞKAN', 'Şimdi')",AN
16,"('Kabul', 'edenler')",NN
16,"('toplanmak', 'üzere')",AN
16,"('bir', 'tezkeresi')",AN
16,"('Görev', 'Gücü')",NN
16,"('Partisi', 'Grubuna')",NN
16,"('Diyarbakır', 'Milletvekili')",NN
16,"('Savunma', 'Bakanı')",NN
15,"('Temmuz', 'Çarşamba')",NN
15,"('bundan', 'sonra')",NN
15,"('Başkanlık', 'Divanının')",NN
15,"('MUSA', 'ÇAM')",NN
15,"('Alim', 'Işık')",AN
15,"('Geçici', 'Görev')",AN
15,"('in', 'görev')",NN
15,"('söz', 'vereceğim')",NN
15,"('Irak', 'ta')",AN
15,"('Değerli', 'arkadaşlarım')",AN
15,"('ÖNDER', 'Devamla')",NN
15,"('Sayın', 'Ahmet')",AN
15,"('Genel', 'Kurulda')",AN
15,"('Özel', 'in')",AN
15,"('KUBAT', 'Devamla')",AN
15,"('ARINÇ', 'Devamla')",NN
15,"('sıralarından', 'sıra')",NN
15,"('GÖK', 'Devamla')",AN
15,"('bir', 'hükûmet')",AN
15,"('Gıda', 'Tarım')",NN
14,"('Deniz', 'Baykal')",NN
14,"('Geçici', 'Kâtip')",AN
14,"('milletvekilleri', 'şimdi')",NN
14,"('Türk', 'milleti')",NN
14,"('bir', 'dakika')",AN
14,"('milletvekilleri', 'Anayasa')",NN
14,"('dış', 'politika')",AN
14,"('ÖNDER', 'Ankara')",NN
14,"('Devamla', 'Şimdi')",NN
14,"('ne', 'zaman')",AN
14,"('bir', 'tutum')",AN
14,"('olur', 'mu')",AN
14,"('Bakanı', 'Kenan')",NN
14,"('Hayvancılık', 'Bakanı')",AN
14,"('Ticaret', 'Bakanı')",NN
14,"('Kütahya', 'Milletvekili')",NN
14,"('Işık', 'ın')",NN
13,"('ilişkin', 'önerisi')",NN
13,"('yararlanması', 'ülküsünden')",AN
13,"('Sırrı', 'Süreyya')",NN
13,"('Mahmut', 'Tanal')",NN
13,"('Musa', 'Çam')",NN
13,"('Meclisi', 'Başkanının')",NN
13,"('SUNUŞLARI', 'Tezkereler')",NN
13,"('BAŞKAN', 'Bilgilerinize')",AN
13,"('Mehmet', 'Vecdi')",NN
13,"('Güvenlik', 'Konseyinin')",NN
13,"('Güvenlik', 'Konseyi')",NN
13,"('GRUBU', 'ADINA')",NN
13,"('Millet', 'Meclisinde')",NN
13,"('çözüm', 'sürecini')",NN
13,"('bir', 'usul')",AN
13,"('mevsimlik', 'tarım')",NN
13,"('Tüzük', 'hükümlerine')",NN
13,"('Meclisi', 'seçimlerinin')",NN
13,"('in', 'cevabı')",NN
13,"('BULDAN', 'Devamla')",NN
13,"('BEŞTAŞ', 'Devamla')",NN
12,"('sayın', 'milletvekilleri')",AN
12,"('temel', 'hürriyetlerden')",AN
12,"('Mehmet', 'Naci')",NN
12,"('ERKAN', 'AKÇAY')",NN
12,"('AKÇAY', 'Manisa')",NN
12,"('Mehmet', 'Doğan')",NN
12,"('Genel', 'Kurula')",AN
12,"('parti', 'gruplarının')",NN
12,"('Hakkında', 'Kanun')",NN
12,"('edenler', 'Kabul')",NN
12,"('başkan', 'vekili')",AN
12,"('üye', 'idare')",AN
12,"('Gök', 'ün')",AN
12,"('bazı', 'ifadelerine')",AN
12,"('ifadelerine', 'ilişkin')",NN
12,"('Dışişleri', 'Bakanı')",NN
12,"('bugün', 'de')",NN
12,"('olmadığı', 'hakkında')",AN
12,"('daha', 'sonra')",NN
12,"('Bülent', 'Arınç')",NN
12,"('ne', 'kadar')",AN
12,"('esas', 'numaralı')",AN
12,"('Bakanı', 'Feridun')",NN
12,"('Kasım', 'seçimlerinin')",NN
11,"('bağımsızlığını', 'vatanın')",AN
11,"('milletin', 'kayıtsız')",NN
11,"('lâik', 'Cumhuriyete')",AN
11,"('inkılaplarına', 'bağlı')",NN
11,"('toplumun', 'huzur')",AN
11,"('millî', 'dayanışma')",AN
11,"('adalet', 'anlayışı')",NN
11,"('içinde', 'herkesin')",AN
11,"('Anayasaya', 'sadakattan')",NN
11,"('şerefim', 'üzerine')",NN
11,"('Naci', 'Bostancı')",NN
11,"('Süreyya', 'Önder')",NN
11,"('Meclisi', 'Başkanlık')",NN
11,"('oy', 'pusulası')",NN
11,"('için', 'yapılan')",AN
11,"('Bakanı', 'Mehmet')",NN
11,"('ün', 'nci')",NN
11,"('Millet', 'Meclisine')",NN
11,"('aynı', 'zamanda')",AN
11,"('bir', 'ülke')",AN
11,"('en', 'önemli')",NN
11,"('biz', 'de')",NN
11,"('bir', 'gün')",AN
11,"('Türkiye', 'deki')",AN
11,"('Tüzük', 'te')",NN
11,"('ne', 'yazık')",AN
11,"('Haziran', 'seçimlerinde')",NN
11,"('bir', 'daha')",AN
11,"('USUL', 'HAKKINDA')",NN
11,"('HAKKINDA', 'GÖRÜŞMELER')",NN
11,"('yüce', 'heyetinizi')",AN
11,"('olağanüstü', 'toplantı')",AN
11,"('kişi', 'sayısı')",NN
11,"('Sayın', 'Arınç')",AN
11,"('bir', 'savaş')",AN
11,"('bir', 'irade')",AN
11,"('Kutbettin', 'Arzu')",NN
11,"('ilişkin', 'Başbakandan')",NN
11,"('Başbakandan', 'sorusu')",NN
11,"('cevabı', 'Kütahya')",NN
11,"('bir', 'seçim')",AN
10,"('TBMM', 'Tutanak')",NN
10,"('Tutanak', 'Hizmetleri')",NN
10,"('Hizmetleri', 'Başkanlığı')",NN
10,"('Başkanlığı', 'tarafından')",NN
10,"('Tutanak', 'Dergisi')",NN
10,"('Dergisi', 'nde')",NN
10,"('nde', 'yer')",NN
10,"('üyeler', 'tarafından')",AN
10,"('tür', 'belge')",AN
10,"('belge', 'ile')",NN
10,"('tarafından', 'ifade')",NN
10,"('alıntı', 'sözler')",NN
10,"('OTURUM', 'BAŞKANLARININ')",NN
10,"('Mustafa', 'Kemal')",NN
10,"('sıralarından', 'ayakta')",NN
10,"('bir', 'Meclis')",AN
10,"('Bursa', 'Milletvekili')",NN
10,"('Engin', 'Altay')",AN
10,"('Aytun', 'Çıray')",NN
10,"('Adana', 'Milletvekili')",NN
10,"('Başkanı', 'Ahmet')",AN
10,"('üzere', 'birleşimi')",NN
10,"('yeter', 'sayısı')",AN
10,"('Mersin', 'Milletvekili')",NN
10,"('Yılmaz', 'ın')",AN
10,"('oy', 'pusulaları')",NN
10,"('Bir', 'Yıl')",AN
10,"('Yıl', 'Daha')",NN
10,"('nci', 'Maddesi')",NN
10,"('Maddesi', 'Uyarınca')",NN
