I(w1;w2),C(w1),C(w2),C(w1;w2),collocation
11.304573923288165,41,41,41,"('otomatik', 'cihaz')"
11.304573923288165,41,41,41,"('Mikrofon', 'otomatik')"
11.269808505127488,42,42,42,"('PERVİN', 'BULDAN')"
10.9872428425109,47,50,46,"('Halkların', 'Demokratik')"
10.779482878544407,59,59,59,"('LEVENT', 'GÖK')"
10.55360147112808,59,69,59,"('ÖZGÜR', 'ÖZEL')"
10.535656096852774,58,53,44,"('saygıyla', 'selamlıyorum')"
10.433307237410368,75,47,47,"('OSMAN', 'BAYDEMİR')"
10.30371594226919,58,58,41,"('İsmet', 'Yılmaz')"
10.138563971849235,92,81,81,"('Birleşmiş', 'Milletler')"
9.96097862475863,103,99,98,"('OKTAY', 'VURAL')"
9.933397165333732,103,104,101,"('İç', 'Tüzük')"
9.779482878544407,118,117,117,"('Milliyetçi', 'Hareket')"
9.763944453489788,114,113,108,"('Cumhuriyet', 'Halk')"
9.743262690631655,121,121,121,"('İDRİS', 'BALUKEN')"
9.519167974064207,106,64,48,"('Türk', 'Silahlı')"
9.517977561397359,82,69,40,"('şu', 'anda')"
9.51339514873306,132,129,120,"('AHMET', 'AYDIN')"
9.379432996301988,56,114,41,"('geçici', 'Bakanlar')"
9.26980850512749,56,150,50,"('maddesine', 'göre')"
9.215750462094398,121,160,111,"('BALUKEN', 'Diyarbakır')"
9.146426089622206,183,37,37,"('Genel', 'Kurulun')"
9.010095806685824,59,150,44,"('GÖK', 'Ankara')"
8.954766795825366,41,209,41,"('cihaz', 'tarafından')"
8.92591193315318,114,101,54,"('Bakanlar', 'Kurulu')"
8.92000137766469,209,42,41,"('tarafından', 'kapatıldı')"
8.906696975167504,195,41,37,"('her', 'türlü')"
8.820823673925307,129,96,54,"('AYDIN', 'Adıyaman')"
8.748692486430958,102,104,44,"('Grubu', 'adına')"
8.636347486715142,77,176,52,"('olmak', 'üzere')"
8.625952315352764,50,231,44,"('bugüne', 'kadar')"
8.60925602648045,239,50,45,"('Meclisi', 'Başkanlığına')"
8.524595440161866,123,87,38,"('Ahmet', 'Aydın')"
8.432162695469428,194,65,42,"('Suriye', 'deki')"
8.364445379265563,76,236,57,"('kez', 'daha')"
8.317830019990431,325,325,325,"('AK', 'PARTİ')"
8.271649851951656,87,216,56,"('teşekkür', 'ediyorum')"
8.231673376240717,117,230,78,"('Hareket', 'Partisi')"
8.231578340171984,47,323,44,"('BAYDEMİR', 'Devamla')"
8.210424186910583,346,85,84,"('Millet', 'Meclisinin')"
8.205910280175635,113,230,74,"('Halk', 'Partisi')"
8.2022604087705,346,346,340,"('Büyük', 'Millet')"
8.201166839522358,99,210,59,"('VURAL', 'İzmir')"
8.187498151642751,301,78,66,"('ilişkin', 'açıklaması')"
8.181866283563421,301,70,59,"('ilişkin', 'sorusu')"
8.138563971849237,72,230,45,"('Kalkınma', 'Partisi')"
8.103930336747878,89,216,51,"('Teşekkür', 'ediyorum')"
8.098406845377253,230,102,62,"('Partisi', 'Grubu')"
8.074823741878236,346,239,215,"('Millet', 'Meclisi')"
7.947880410240126,420,60,60,"('Başkan', 'Vekili')"
7.832086151825422,222,246,120,"('Anayasa', 'nın')"
7.807017874400277,43,420,39,"('Grup', 'Başkan')"
7.698237771774442,246,136,67,"('nın', 'üncü')"
7.6012436857592265,484,96,87,"('sıralarından', 'gürültüler')"
7.5844704315239655,484,355,318,"('sıralarından', 'alkışlar')"
7.410194038139092,325,484,258,"('PARTİ', 'sıralarından')"
7.3599024371475235,129,323,66,"('AYDIN', 'Devamla')"
7.35753693387449,239,127,48,"('Meclisi', 'Başkanı')"
7.3230182430420605,145,268,60,"('değerli', 'milletvekilleri')"
7.2755114576857025,246,117,43,"('nın', 'nci')"
7.222578341921032,114,268,44,"('Değerli', 'milletvekilleri')"
6.982781171994962,99,323,39,"('VURAL', 'Devamla')"
6.96446329443573,816,346,340,"('Türkiye', 'Büyük')"
