+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.006598629728157065 |
|      |                      |
| 9.0  | 0.00735096795642323  |
|      |                      |
| 8.0  | 0.008475463719735595 |
|      |                      |
| 7.0  |  0.0094410842362209  |
|      |                      |
| 6.0  | 0.011302373358846273 |
|      |                      |
| 5.0  | 0.013998530592023946 |
|      |                      |
| 4.0  | 0.018707664782108314 |
|      |                      |
| 3.0  | 0.026375004251743377 |
|      |                      |
| 2.0  | 0.04829230838983752  |
|      |                      |
| 1.0  | 0.16660209137801402  |
|      |                      |
+------+----------------------+
