C(w1;w2),collocation,tag pattern
90229,"('le', 'ri')",NN
26526,"('Baş', 'kan')",NN
25384,"('me', 'si')",NN
25252,"('BAŞ', 'KAN')",NN
24955,"('soru', 'önergesi')",NN
21252,"('so', 'ru')",NN
19452,"('yazılı', 'soru')",AN
19363,"('ko', 'nu')",NN
19116,"('Kabul', 'edenler')",NN
18576,"('öner', 'ge')",NN
18274,"('sıralarından', 'alkışlar')",NN
18058,"('Büyük', 'Millet')",AN
17135,"('AK', 'Parti')",AN
16919,"('li', 'ar')",NN
16770,"('önergesi', 'Başkanlığa')",NN
16652,"('mad', 'de')",NN
15674,"('la', 'ra')",NN
15586,"('Par', 'ti')",NN
14794,"('ge', 'si')",NN
14560,"('daş', 'la')",NN
13875,"('sin', 'de')",NN
13504,"('ta', 'ri')",NN
12788,"('Değerli', 'arkadaşlarım')",AN
12762,"('BAŞKAN', 'Teşekkür')",AN
12683,"('Teşekkür', 'ederim')",NN
12572,"('kil', 'le')",NN
12519,"('ru', 'öner')",NN
12422,"('Cumhuriyet', 'Halk')",NN
12006,"('bir', 'şey')",AN
11868,"('Sayın', 'milletvekilleri')",AN
11746,"('edenler', 'Kabul')",NN
11664,"('Millet', 'Meclisi')",NN
11558,"('Parti', 'sıralarından')",NN
11386,"('mek', 'te')",NN
11364,"('Ba', 'kan')",NN
11272,"('si', 'Baş')",NN
10997,"('ri', 'ni')",NN
10919,"('ri', 'hi')",NN
10878,"('Türkiye', 'de')",AN
10858,"('ön', 'ce')",AN
10538,"('Sayın', 'Bakan')",AN
10474,"('ra', 'la')",NN
10341,"('le', 'me')",NN
10331,"('değerli', 'milletvekilleri')",AN
10308,"('le', 're')",NN
9849,"('la', 'rım')",NN
9622,"('CHP', 'sıralarından')",NN
9546,"('gö', 're')",NN
9453,"('Değerli', 'arkadaşlar')",AN
9301,"('mak', 'ta')",NN
9299,"('si', 'ni')",NN
9281,"('Halk', 'Partisi')",NN
9223,"('son', 'ra')",AN
9074,"('ta', 'ra')",NN
8708,"('ÖĞÜT', 'ün')",NN
8644,"('is', 'ti')",NN
8598,"('so', 'run')",NN
8571,"('si', 'te')",NN
8541,"('için', 'de')",AN
8449,"('tan', 'bul')",NN
8217,"('li', 'si')",NN
8194,"('hu', 'ri')",NN
8135,"('ti', 'si')",NN
8094,"('yüz', 'de')",NN
8040,"('Ko', 'mis')",NN
7847,"('de', 'si')",NN
7813,"('ge', 're')",NN
7727,"('AK', 'Par')",AN
7721,"('et', 'me')",NN
7693,"('ri', 'Ba')",NN
7656,"('Ku', 'ru')",NN
7620,"('sü', 're')",NN
7283,"('ku', 'ru')",NN
7259,"('nu', 'nu')",NN
7221,"('yu', 'run')",NN
7210,"('Baş', 'ba')",NN
7148,"('Madde', 'üzerinde')",NN
7113,"('Te', 'şek')",NN
7110,"('in', 'san')",NN
7093,"('Millî', 'Eğitim')",AN
7050,"('bir', 'şekilde')",AN
7025,"('de', 'de')",NN
7006,"('run', 'la')",NN
6992,"('ba', 'kan')",NN
6985,"('al', 'kış')",AN
6933,"('li', 'mil')",NN
6900,"('an', 'la')",NN
6776,"('mi', 'zin')",NN
6733,"('Hakkında', 'Kanun')",NN
6697,"('otomatik', 'cihaz')",AN
6668,"('me', 'le')",NN
6618,"('önem', 'li')",NN
6609,"('bü', 'yük')",NN
6591,"('Grubu', 'adına')",NN
6581,"('cihaz', 'tarafından')",NN
6551,"('me', 'yen')",NN
6531,"('is', 'te')",NN
6474,"('Kanun', 'Tasarısı')",NN
6467,"('Bü', 'yük')",NN
6453,"('gu', 'la')",NN
6448,"('Meclisi', 'Başkanlığına')",NN
6420,"('or', 'ta')",NN
6420,"('dü', 'zen')",NN
6306,"('sözlü', 'soru')",AN
6289,"('ge', 'ti')",NN
6268,"('la', 'il')",NN
6266,"('Partisi', 'Grubu')",NN
6250,"('içe', 'ri')",AN
6153,"('kil', 'de')",NN
6138,"('şe', 'kil')",NN
6120,"('ne', 'de')",AN
6113,"('ri', 'mi')",NN
6004,"('adı', 'na')",NN
5973,"('ilişkin', 'sorusu')",NN
5859,"('su', 'nu')",NN
5790,"('oy', 'la')",NN
5689,"('ilişkin', 'Başbakandan')",NN
