('mikrofon', 'otomatik', 'cihaz'),17052.0,1.764951092150271e-12
('otomatik', 'cihaz', 'kapatıldı'),17038.0,1.76350207791247e-12
('parti̇', 'sıralarından', 'alkışlar'),13262.0,1.3726822377741076e-12
('türkiye', 'büyük', 'millet'),13002.0,1.3457719733578009e-12
('cihaz', 'kapatıldı', 'başkan'),12483.0,1.2920549455421732e-12
('yılı', 'merkezî', 'yönetim'),11675.0,1.2084261238176506e-12
('başkan', 'değerli', 'milletvekilleri'),11333.0,1.1730287760085089e-12
('sayın', 'başkan', 'değerli'),11067.0,1.1454975054902872e-12
('chp', 'sıralarından', 'alkışlar'),10591.0,1.0962310214050489e-12
('sıralarından', 'alkışlar', 'başkan'),9805.0,1.014879222054214e-12
