+------+-----------------------+
|  r   |         P_mle         |
+------+-----------------------+
| 10.0 |  0.00304442869548738  |
|      |                       |
| 9.0  |  0.003235263677995695 |
|      |                       |
| 8.0  | 0.0034978095348667405 |
|      |                       |
| 7.0  |  0.003854919182107139 |
|      |                       |
| 6.0  |  0.004088307870281538 |
|      |                       |
| 5.0  |  0.004572553280128761 |
|      |                       |
| 4.0  |  0.00516108153657708  |
|      |                       |
| 3.0  | 0.0060899080997560045 |
|      |                       |
| 2.0  |  0.007793107035174923 |
|      |                       |
| 1.0  |  0.011928040107676353 |
|      |                       |
+------+-----------------------+
