+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.010266739533330889 |
|      |                      |
| 9.0  | 0.01145758675539565  |
|      |                      |
| 8.0  | 0.012966798780177376 |
|      |                      |
| 7.0  | 0.015038140077103268 |
|      |                      |
| 6.0  | 0.018283123237510017 |
|      |                      |
| 5.0  |  0.0221824353777911  |
|      |                      |
| 4.0  | 0.030243605549716678 |
|      |                      |
| 3.0  | 0.04234882301555779  |
|      |                      |
| 2.0  | 0.07969417015437344  |
|      |                      |
| 1.0  |  0.2500084385047577  |
|      |                      |
+------+----------------------+
