+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.006443473297411568 |
|      |                      |
| 9.0  | 0.007137203952871613 |
|      |                      |
| 8.0  | 0.00843719373472726  |
|      |                      |
| 7.0  | 0.009679131841133226 |
|      |                      |
| 6.0  | 0.012514732911066152 |
|      |                      |
| 5.0  | 0.015341665631273475 |
|      |                      |
| 4.0  | 0.02470111924152714  |
|      |                      |
| 3.0  | 0.03749179461888468  |
|      |                      |
| 2.0  | 0.09144005717931429  |
|      |                      |
| 1.0  |  0.5277363550616115  |
|      |                      |
+------+----------------------+
