('mikrofon', 'otomatik', 'cihaz'),17052.0,8.804819759388987e-13
('otomatik', 'cihaz', 'tarafından'),17043.0,8.800172871578367e-13
('cihaz', 'tarafından', 'kapatıldı'),17037.0,8.797074946371287e-13
('parti̇', 'sıralarından', 'alkışlar'),13262.0,6.847963670250169e-13
('türkiye', 'büyük', 'millet'),13001.0,6.713203923742192e-13
('tarafından', 'kapatıldı', 'başkan'),12492.0,6.450396602008246e-13
('yılı', 'merkezî', 'yönetim'),11674.0,6.028046132109683e-13
('başkan', 'değerli', 'milletvekilleri'),11065.0,5.71360672359107e-13
('sayın', 'başkan', 'değerli'),10752.0,5.551998291955068e-13
('chp', 'sıralarından', 'alkışlar'),10591.0,5.468870632231757e-13
