('türkiye', 'büyük'),342.0,4.541650765912743e-06
('büyük', 'millet'),340.0,4.515110805264605e-06
('ak', 'parti̇'),325.0,4.316061100403564e-06
('sıralarından', 'alkışlar'),318.0,4.223171238135079e-06
('sayın', 'başkan'),312.0,4.143551356190662e-06
('parti̇', 'sıralarından'),258.0,3.426972418690916e-06
('başkan', 'sayın'),225.0,2.9890630679966264e-06
('millet', 'meclisi'),216.0,2.869633245080002e-06
('türkiye', 'nin'),133.0,1.7682248781822441e-06
('oktay', 'vural'),131.0,1.7416849175341053e-06
