('türkiye', 'büyük', 'millet'),339
('ak', 'parti̇', 'sıralarından'),258
('büyük', 'millet', 'meclisi'),214
('parti̇', 'sıralarından', 'alkışlar'),150
('i̇dri̇s', 'baluken', 'diyarbakır'),111
('büyük', 'millet', 'meclisinin'),84
('başkan', 'sayın', 'milletvekilleri'),79
('milliyetçi', 'hareket', 'partisi'),79
('cumhuriyet', 'halk', 'partisi'),73
('chp', 'sıralarından', 'alkışlar'),68
