+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.009573564170177705 |
|      |                      |
| 9.0  | 0.010877018563528448 |
|      |                      |
| 8.0  | 0.012465556501105006 |
|      |                      |
| 7.0  | 0.014369128139159693 |
|      |                      |
| 6.0  | 0.01751356686372994  |
|      |                      |
| 5.0  | 0.02101327866717724  |
|      |                      |
| 4.0  | 0.028107009221316554 |
|      |                      |
| 3.0  | 0.04064937443802472  |
|      |                      |
| 2.0  | 0.07068852918787642  |
|      |                      |
| 1.0  | 0.23011439057400865  |
|      |                      |
+------+----------------------+
