+------+-----------------------+
|  r   |         P_mle         |
+------+-----------------------+
| 10.0 | 0.0023042613236815795 |
|      |                       |
| 9.0  |  0.002405318518252573 |
|      |                       |
| 8.0  | 0.0024898605292749633 |
|      |                       |
| 7.0  |  0.002700691265289827 |
|      |                       |
| 6.0  | 0.0028933028702472522 |
|      |                       |
| 5.0  | 0.0032168562876247106 |
|      |                       |
| 4.0  | 0.0036296703398963574 |
|      |                       |
| 3.0  | 0.0042253310671707634 |
|      |                       |
| 2.0  |  0.005248289400542036 |
|      |                       |
| 1.0  |  0.007544948496866502 |
|      |                       |
+------+-----------------------+
