+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.006206354335705029 |
|      |                      |
| 9.0  | 0.006954786745452431 |
|      |                      |
| 8.0  | 0.008666824800816299 |
|      |                      |
| 7.0  | 0.009481384464063602 |
|      |                      |
| 6.0  | 0.012724216505655441 |
|      |                      |
| 5.0  | 0.015216841780530524 |
|      |                      |
| 4.0  | 0.024676717576407537 |
|      |                      |
| 3.0  | 0.03509617425695842  |
|      |                      |
| 2.0  | 0.08179958569290244  |
|      |                      |
| 1.0  |  0.4759516861312905  |
|      |                      |
+------+----------------------+
