C(w1;w2),collocation,tag pattern
31195,"('sıralarından', 'alkışlar')",NN
18910,"('Teşekkür', 'ederim')",NN
18360,"('ilişkin', 'açıklaması')",NN
17872,"('Büyük', 'Millet')",AN
16039,"('Kabul', 'edenler')",NN
15430,"('BAŞKAN', 'Teşekkür')",AN
13586,"('CHP', 'sıralarından')",NN
12199,"('Millet', 'Meclisi')",NN
11831,"('değerli', 'milletvekilleri')",AN
11734,"('Merkezî', 'Yönetim')",AN
11660,"('bir', 'şey')",AN
10432,"('Kanun', 'Tasarısı')",NN
10152,"('bir', 'şekilde')",AN
10128,"('Türkiye', 'de')",AN
9411,"('Sayın', 'milletvekilleri')",AN
9379,"('edenler', 'Kabul')",NN
8978,"('Sayın', 'Bakan')",AN
8652,"('Değerli', 'milletvekilleri')",AN
8611,"('Cumhuriyet', 'Halk')",NN
8047,"('sayılı', 'Kanun')",AN
8024,"('otomatik', 'cihaz')",AN
8020,"('cihaz', 'tarafından')",NN
7428,"('Meclisi', 'Başkanlığına')",NN
7269,"('Türkiye', 'Cumhuriyeti')",AN
7165,"('ÖZEL', 'Manisa')",AN
7098,"('Başkan', 'Vekili')",AN
6980,"('şu', 'anda')",AN
6468,"('BAŞKAN', 'Kabul')",AN
6462,"('Milliyetçi', 'Hareket')",NN
6329,"('Grubu', 'adına')",NN
6268,"('HDP', 'sıralarından')",NN
5922,"('Yönetim', 'Bütçesi')",NN
5842,"('Kesin', 'Hesabı')",AN
5529,"('Halk', 'Partisi')",NN
5489,"('Partisi', 'Grubu')",NN
5399,"('Değerli', 'arkadaşlar')",AN
5387,"('Milletvekili', 'Mehmet')",NN
5253,"('Kanunu', 'Tasarısı')",NN
5058,"('Hareket', 'Partisi')",NN
5028,"('ne', 'kadar')",AN
4832,"('BALUKEN', 'Diyarbakır')",NN
4763,"('teklif', 'ederiz')",NN
4698,"('Meclis', 'araştırması')",NN
4551,"('BAŞKAN', 'Buyurun')",AN
4414,"('olan', 'sıra')",AN
4351,"('Allah', 'tan')",NN
4317,"('bir', 'kez')",AN
4307,"('kez', 'daha')",NN
4267,"('BAŞKAN', 'Komisyon')",AN
4186,"('MEHMET', 'MUŞ')",NN
4178,"('Manisa', 'Milletvekili')",NN
4041,"('söz', 'konusu')",NN
3986,"('değerli', 'arkadaşlar')",AN
3900,"('bazı', 'ifadelerine')",AN
3862,"('MHP', 'sıralarından')",NN
3788,"('tan', 'rahmet')",NN
3751,"('ifadelerine', 'ilişkin')",NN
3652,"('yeter', 'sayısı')",AN
3641,"('GÖK', 'Ankara')",AN
3638,"('Millet', 'Meclisinin')",NN
3502,"('BAŞKAN', 'Hükûmet')",AN
3494,"('Tüzük', 'ün')",NN
3488,"('bir', 'an')",AN
3457,"('BÜLENT', 'TURAN')",NN
3441,"('Cumhuriyeti', 'Hükümeti')",NN
3324,"('Millî', 'Eğitim')",AN
3271,"('Diyarbakır', 'Milletvekili')",NN
3269,"('BOSTANCI', 'Amasya')",NN
3259,"('Kanun', 'Teklifi')",NN
3208,"('GRUBU', 'ADINA')",NN
3202,"('ben', 'de')",NN
3180,"('aynı', 'zamanda')",AN
3136,"('çok', 'önemli')",AN
3111,"('Başkanlığı', 'Tezkeresi')",NN
3106,"('Önergeyi', 'oylarınıza')",NN
3075,"('MAHMUT', 'TANAL')",NN
3072,"('son', 'derece')",AN
3043,"('Merkezi', 'Yönetim')",AN
2969,"('bugüne', 'kadar')",NN
2966,"('ERKAN', 'AKÇAY')",NN
2931,"('en', 'önemli')",NN
2922,"('için', 'de')",AN
2904,"('Demokratik', 'Partisi')",AN
2897,"('Önerge', 'kabul')",NN
2879,"('Komisyon', 'önergeye')",NN
2878,"('Sayıştay', 'Başkanlığı')",NN
2873,"('TURAN', 'Çanakkale')",NN
2778,"('bir', 'dakika')",AN
2772,"('maddeyi', 'oylarınıza')",NN
2763,"('Hakkında', 'Kanun')",NN
2751,"('Kanun', 'Tasarı')",NN
2734,"('Milletvekili', 'Mustafa')",NN
2679,"('ne', 'yazık')",AN
2663,"('AKÇAY', 'Manisa')",NN
2618,"('Türkiye', 'yi')",AN
2525,"('Sayın', 'Bostancı')",AN
2523,"('Ankara', 'Milletvekili')",NN
2508,"('adına', 'söz')",NN
2507,"('Kurulu', 'saygıyla')",AN
2453,"('Naci', 'Bostancı')",NN
2439,"('sıralarından', 'gürültüler')",NN
2436,"('Şu', 'anda')",AN
2391,"('BAŞKAN', 'Önerge')",AN
2375,"('Teşekkür', 'ederiz')",NN
2325,"('Sayın', 'Baluken')",AN
2290,"('Ömer', 'Fethi')",NN
2285,"('Mehmet', 'Naci')",NN
2285,"('Fethi', 'Gürer')",NN
2283,"('YILDIRIM', 'Muş')",AN
2238,"('biz', 'de')",NN
2209,"('Tasarısı', 'ile')",NN
2202,"('grup', 'önerisi')",NN
2197,"('KANUN', 'TASARI')",NN
2185,"('Kesin', 'Hesap')",AN
2175,"('HAYDAR', 'AKAR')",NN
2172,"('Hesap', 'Kanunu')",NN
2152,"('çok', 'daha')",AN
2148,"('Amasya', 'Milletvekili')",NN
2135,"('madde', 'üzerinde')",NN
2117,"('Üniversitesi', 'Yılı')",NN
