('soru', 'önergesi'),80644.0, 0.0034900301052098407
('yazılı', 'soru'),69944.0, 0.0030269662427309793
('sayın', 'başkan'),54143.0, 0.0023431464211395316
('geliş', 'tarihi'),51197.0, 0.0022156523894701183
('başkanlığa', 'geliş'),51190.0, 0.0022153494504946647
('bakanından', 'yazılı'),50128.0, 0.0021693892802187253
('önergesi', 'başkanlığa'),47123.0, 0.002039341905756204
('i̇stanbul', 'milletvekili'),38073.0, 0.0016476850874913727
('sıralarından', 'alkışlar'),35570.0, 0.0015393627652685138
('büyük', 'millet'),32380.0, 0.0014013091464547226
