+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.009495234602091491 |
|      |                      |
| 9.0  | 0.01061546166090827  |
|      |                      |
| 8.0  | 0.012190343182313778 |
|      |                      |
| 7.0  | 0.013756897698929125 |
|      |                      |
| 6.0  | 0.016410469219883022 |
|      |                      |
| 5.0  | 0.019662262562822348 |
|      |                      |
| 4.0  | 0.026081354641108456 |
|      |                      |
| 3.0  | 0.03558427947703848  |
|      |                      |
| 2.0  | 0.06252816486965244  |
|      |                      |
| 1.0  | 0.18559458537341908  |
|      |                      |
+------+----------------------+
