I(w1;w2),C(w1),C(w2),C(w1;w2),collocation
13.826911353605638,1565,1589,1564,"('TABİİ', 'KAYNAKLAR')"
13.761212952888028,1587,1662,1585,"('SATAŞMALARA', 'İLİŞKİN')"
13.749916870930475,1571,1548,1450,"('Lütfi', 'Baydar')"
13.734437313554585,1639,1657,1602,"('Mülkiye', 'Birtane')"
13.723622299585225,1707,1664,1663,"('BEKİR', 'BOZDAĞ')"
13.653132918217107,1789,1576,1572,"('Kadir', 'Gökmen')"
13.5898199164518,1737,1696,1572,"('Veysel', 'Eroğlu')"
13.564337007371533,1532,1885,1514,"('Ruhsar', 'Demirel')"
13.563135520062849,1909,1897,1897,"('VELİ', 'AĞBABA')"
13.517706926766607,1844,1969,1843,"('Nedret', 'Akova')"
13.491153128141269,1847,1571,1446,"('Metin', 'Lütfi')"
13.484283335584012,1754,1999,1739,"('Rahmi', 'Aşkın')"
13.451739884645802,1869,2049,1857,"('Aylin', 'Nazlıaka')"
13.40168492313884,2126,2124,2115,"('LÜTFÜ', 'TÜRKKAN')"
13.355971391232261,2182,1720,1703,"('Birleşmiş', 'Milletler')"
13.354064562421275,2049,2099,1949,"('Umut', 'Oran')"
13.349102043767777,1883,1965,1671,"('Erol', 'Dora')"
13.348438564932135,1736,1992,1561,"('RIZA', 'ÖZTÜRK')"
13.333382241612293,1999,1953,1744,"('Aşkın', 'Türeli')"
13.295658863728578,1717,2065,1543,"('Musa', 'Çam')"
13.264520214356734,2348,2100,2100,"('MEVLÜT', 'ASLANOĞLU')"
13.264520214356734,2101,2348,2101,"('FERİT', 'MEVLÜT')"
13.193194907166662,2465,2467,2465,"('AYTUĞ', 'ATICI')"
13.156060849952967,2363,2346,2190,"('Bekir', 'Bozdağ')"
13.131940569246083,2574,2239,2239,"('İLE', 'KOMİSYONLARDAN')"
13.131024038439465,1812,2560,1801,"('Gürkut', 'Acar')"
13.130312232876594,1756,2505,1707,"('Aytuğ', 'Atıcı')"
13.121063988233582,1939,2441,1825,"('Mahir', 'Ünal')"
13.115656589872785,1625,2427,1515,"('kaldığımız', 'yerden')"
13.10721511331513,2354,2574,2314,"('TEKLİFLERİ', 'İLE')"
