+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.002970835987647111 |
|      |                      |
| 9.0  | 0.003254209521080121 |
|      |                      |
| 8.0  | 0.003405502988504924 |
|      |                      |
| 7.0  | 0.003482646243432658 |
|      |                      |
| 6.0  | 0.003906789320901528 |
|      |                      |
| 5.0  | 0.004288257406282916 |
|      |                      |
| 4.0  | 0.004734413828087765 |
|      |                      |
| 3.0  | 0.005560686638691113 |
|      |                      |
| 2.0  | 0.007067635228073831 |
|      |                      |
| 1.0  | 0.010705919677947769 |
|      |                      |
+------+----------------------+
