('türkiye', 'büyük'),15340
('büyük', 'millet'),15141
('sayın', 'başkan'),14472
('soru', 'önergesi'),12636
('millet', 'meclisi'),11888
('başkan', 'sayın'),11217
('sıralarından', 'alkışlar'),9789
('yazılı', 'soru'),9763
('meclisi', 'başkanlığına'),7972
('sayın', 'milletvekilleri'),7206
