+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.010460128107186923 |
|      |                      |
| 9.0  | 0.004971499089146148 |
|      |                      |
| 8.0  | 0.008650173356055706 |
|      |                      |
| 7.0  | 0.007980255039078574 |
|      |                      |
| 6.0  | 0.018123053417171044 |
|      |                      |
| 5.0  | 0.012399365340541802 |
|      |                      |
| 4.0  | 0.027125815361109203 |
|      |                      |
| 3.0  | 0.04273373685138433  |
|      |                      |
| 2.0  | 0.07721690074631479  |
|      |                      |
| 1.0  |  0.7020979020983827  |
|      |                      |
+------+----------------------+
