+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.012575511835084515 |
|      |                      |
| 9.0  | 0.009414004654114665 |
|      |                      |
| 8.0  | 0.012410972427896495 |
|      |                      |
| 7.0  | 0.01077733117081539  |
|      |                      |
| 6.0  | 0.023693674635075282 |
|      |                      |
| 5.0  | 0.01962720071457117  |
|      |                      |
| 4.0  | 0.03408316291751864  |
|      |                      |
| 3.0  | 0.05140681193145638  |
|      |                      |
| 2.0  | 0.09823002609124319  |
|      |                      |
| 1.0  |  0.5426274592766617  |
|      |                      |
+------+----------------------+
