+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.008445904167311417 |
|      |                      |
| 9.0  | 0.009620001330789786 |
|      |                      |
| 8.0  | 0.01115525278167787  |
|      |                      |
| 7.0  | 0.012701833520220225 |
|      |                      |
| 6.0  | 0.015816323844030405 |
|      |                      |
| 5.0  | 0.019526798525763278 |
|      |                      |
| 4.0  | 0.02762431380024956  |
|      |                      |
| 3.0  | 0.03886567980582687  |
|      |                      |
| 2.0  | 0.07449788517239614  |
|      |                      |
| 1.0  | 0.26420813678370164  |
|      |                      |
+------+----------------------+
